CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,N/A,N/A,N/A,N/A,N/A,N/A
Ab,9(#11),1;3;5;b7;9;#11,Ab,C,Eb,Gb,Bb,D,N/A
Ab,m7,1;b3;5;b7,Ab,Cb,Eb,Gb,N/A,N/A,N/A
Ab,m(maj7),1;b3;5;7,Ab,Cb,Eb,G,N/A,N/A,N/A
Ab,dim,1;b3;b5,Ab,Cb,Ebb,N/A,N/A,N/A,N/A
Ab,6,1;3;5;6,Ab,C,Eb,F,N/A,N/A,N/A
Ab,7(#5),1;3;#5;b7,Ab,C,E,Gb,N/A,N/A,N/A
Ab,7sus4,1;4;5;b7,Ab,Db,Eb,Gb,N/A,N/A,N/A
Ab,maj7,1;3;5;7,Ab,C,Eb,G,N/A,N/A,N/A
Ab,5,1;5,Ab,Eb,N/A,N/A,N/A,N/A,N/A
Ab,7(#11),1;3;5;b7;#11,Ab,C,Eb,Gb,D,N/A,N/A
Ab,13(#9),1;3;5;b7;#9;11;13,Ab,C,Eb,Gb,B,Db,F
Ab,m6,1;b3;5;6,Ab,Cb,Eb,F,N/A,N/A,N/A
Ab,13(#5),1;3;#5;b7;9;11;13,Ab,C,E,Gb,Bb,Db,F
Ab,m6/9,1;b3;5;6;9,Ab,Cb,Eb,F,Bb,N/A,N/A
Ab,7(b9),1;3;5;b7;b9,Ab,C,Eb,Gb,Bbb,N/A,N/A
Ab,m9,1;b3;5;b7;9,Ab,Cb,Eb,Gb,Bb,N/A,N/A
Ab,13(b9),1;3;5;b7;b9;11;13,Ab,C,Eb,Gb,Bbb,Db,F
Ab,sus4,1;4;5,Ab,Db,Eb,N/A,N/A,N/A,N/A
Ab,6/9,1;3;5;6;9,Ab,C,Eb,F,Bb,N/A,N/A
Bb,9(#5),1;3;#5;b7;9,Bb,D,F#,Ab,C,N/A,N/A
Bb,13,1;3;5;b7;9;11;13,Bb,D,F,Ab,C,Eb,G
Bb,6(#11),1;3;5;6;#11,Bb,D,F,G,E,N/A,N/A
Bb,7(#9),1;3;5;b7;#9,Bb,D,F,Ab,C#,N/A,N/A
Bb,+(#11),1;3;#5;#11,Bb,D,F#,E,N/A,N/A,N/A
Bb,9,1;3;5;b7;9,Bb,D,F,Ab,C,N/A,N/A
Bb,9b5,1;3;b5;b7;9,Bb,D,Fb,Ab,C,N/A,N/A
Bb,maj13,1;3;5;7;9;11;13,Bb,D,F,A,C,Eb,G
Bb,7,1;3;5;b7,Bb,D,F,Ab,N/A,N/A,N/A
Bb,dim7,1;b3;b5;bb7,Bb,Db,Fb,Abb,N/A,N/A,N/A
Bb,aug,1;3;#5,Bb,D,F#,N/A,N/A,N/A,N/A
Bb,m(maj9),1;b3;5;7;9,Bb,Db,F,A,C,N/A,N/A
Bb,maj,1;3;5,Bb,D,F,N/A,N/A,N/A,N/A
Bb,13(#11),1;3;5;b7;9;#11;13,Bb,D,F,Ab,C,E,G
Bb,11,1;3;5;b7;9;11,Bb,D,F,Ab,C,Eb,N/A
Bb,maj9,1;3;5;7;9,Bb,D,F,A,C,N/A,N/A
Bb,sus2,1;2;5,Bb,C,F,N/A,N/A,N/A,N/A
Bb,7(b13),1;3;5;b7;b13,Bb,D,F,Ab,Gb,N/A,N/A
Bb,maj7(#5),1;3;#5;7,Bb,D,F#,A,N/A,N/A,N/A
Bb,m11,1;b3;5;b7;9;11,Bb,Db,F,Ab,C,Eb,N/A
Bb,add9,1;3;5;9,Bb,D,F,C,N/A,N/A,N/A
Bb,m7b5,1;b3;b5;b7,Bb,Db,Fb,Ab,N/A,N/A,N/A
Bb,m13,1;b3;5;b7;9;11;13,Bb,Db,F,Ab,C,Eb,G
Bb,m,1;b3;5,Bb,Db,F,N/A,N/A,N/A,N/A
Bb,7b5,1;3;b5;b7,Bb,D,Fb,Ab,N/A,N/A,N/A
Bb,9(#11),1;3;5;b7;9;#11,Bb,D,F,Ab,C,E,N/A
Bb,m7,1;b3;5;b7,Bb,Db,F,Ab,N/A,N/A,N/A
Bb,m(maj7),1;b3;5;7,Bb,Db,F,A,N/A,N/A,N/A
Bb,dim,1;b3;b5,Bb,Db,Fb,N/A,N/A,N/A,N/A
Bb,6,1;3;5;6,Bb,D,F,G,N/A,N/A,N/A
Bb,7(#5),1;3;#5;b7,Bb,D,F#,Ab,N/A,N/A,N/A
Bb,7sus4,1;4;5;b7,Bb,Eb,F,Ab,N/A,N/A,N/A
Bb,maj7,1;3;5;7,Bb,D,F,A,N/A,N/A,N/A
Bb,5,1;5,Bb,F,N/A,N/A,N/A,N/A,N/A
Bb,7(#11),1;3;5;b7;#11,Bb,D,F,Ab,E,N/A,N/A
Bb,13(#9),1;3;5;b7;#9;11;13,Bb,D,F,Ab,C#,Eb,G
Bb,m6,1;b3;5;6,Bb,Db,F,G,N/A,N/A,N/A
Bb,13(#5),1;3;#5;b7;9;11;13,Bb,D,F#,Ab,C,Eb,G
Bb,m6/9,1;b3;5;6;9,Bb,Db,F,G,C,N/A,N/A
Bb,7(b9),1;3;5;b7;b9,Bb,D,F,Ab,Cb,N/A,N/A
Bb,m9,1;b3;5;b7;9,Bb,Db,F,Ab,C,N/A,N/A
Bb,13(b9),1;3;5;b7;b9;11;13,Bb,D,F,Ab,Cb,Eb,G
Bb,sus4,1;4;5,Bb,Eb,F,N/A,N/A,N/A,N/A
Bb,6/9,1;3;5;6;9,Bb,D,F,G,C,N/A,N/A
Cb,9(#5),1;3;#5;b7;9,Cb,Eb,G,Bbb,Db,N/A,N/A
Cb,13,1;3;5;b7;9;11;13,Cb,Eb,Gb,Bbb,Db,Fb,Ab
Cb,6(#11),1;3;5;6;#11,Cb,Eb,Gb,Ab,F,N/A,N/A
Cb,7(#9),1;3;5;b7;#9,Cb,Eb,Gb,Bbb,D,N/A,N/A
Cb,+(#11),1;3;#5;#11,Cb,Eb,G,F,N/A,N/A,N/A
Cb,9,1;3;5;b7;9,Cb,Eb,Gb,Bbb,Db,N/A,N/A
Cb,9b5,1;3;b5;b7;9,Cb,Eb,Gbb,Bbb,Db,N/A,N/A
Cb,maj13,1;3;5;7;9;11;13,Cb,Eb,Gb,Bb,Db,Fb,Ab
Cb,7,1;3;5;b7,Cb,Eb,Gb,Bbb,N/A,N/A,N/A
Cb,dim7,1;b3;b5;bb7,Cb,Ebb,Gbb,Bbbb,N/A,N/A,N/A
Cb,aug,1;3;#5,Cb,Eb,G,N/A,N/A,N/A,N/A
Cb,m(maj9),1;b3;5;7;9,Cb,Ebb,Gb,Bb,Db,N/A,N/A
Cb,maj,1;3;5,Cb,Eb,Gb,N/A,N/A,N/A,N/A
Cb,13(#11),1;3;5;b7;9;#11;13,Cb,Eb,Gb,Bbb,Db,F,Ab
Cb,11,1;3;5;b7;9;11,Cb,Eb,Gb,Bbb,Db,Fb,N/A
Cb,maj9,1;3;5;7;9,Cb,Eb,Gb,Bb,Db,N/A,N/A
Cb,sus2,1;2;5,Cb,Db,Gb,N/A,N/A,N/A,N/A
Cb,7(b13),1;3;5;b7;b13,Cb,Eb,Gb,Bbb,Abb,N/A,N/A
Cb,maj7(#5),1;3;#5;7,Cb,Eb,G,Bb,N/A,N/A,N/A
Cb,m11,1;b3;5;b7;9;11,Cb,Ebb,Gb,Bbb,Db,Fb,N/A
Cb,add9,1;3;5;9,Cb,Eb,Gb,Db,N/A,N/A,N/A
Cb,m7b5,1;b3;b5;b7,Cb,Ebb,Gbb,Bbb,N/A,N/A,N/A
Cb,m13,1;b3;5;b7;9;11;13,Cb,Ebb,Gb,Bbb,Db,Fb,Ab
Cb,m,1;b3;5,Cb,Ebb,Gb,N/A,N/A,N/A,N/A
Cb,7b5,1;3;b5;b7,Cb,Eb,Gbb,Bbb,N/A,N/A,N/A
Cb,9(#11),1;3;5;b7;9;#11,Cb,Eb,Gb,Bbb,Db,F,N/A
Cb,m7,1;b3;5;b7,Cb,Ebb,Gb,Bbb,N/A,N/A,N/A
Cb,m(maj7),1;b3;5;7,Cb,Ebb,Gb,Bb,N/A,N/A,N/A
Cb,dim,1;b3;b5,Cb,Ebb,Gbb,N/A,N/A,N/A,N/A
Cb,6,1;3;5;6,Cb,Eb,Gb,Ab,N/A,N/A,N/A
Cb,7(#5),1;3;#5;b7,Cb,Eb,G,Bbb,N/A,N/A,N/A
Cb,7sus4,1;4;5;b7,Cb,Fb,Gb,Bbb,N/A,N/A,N/A
Cb,maj7,1;3;5;7,Cb,Eb,Gb,Bb,N/A,N/A,N/A
Cb,5,1;5,Cb,Gb,N/A,N/A,N/A,N/A,N/A
Cb,7(#11),1;3;5;b7;#11,Cb,Eb,Gb,Bbb,F,N/A,N/A
Cb,13(#9),1;3;5;b7;#9;11;13,Cb,Eb,Gb,Bbb,D,Fb,Ab
Cb,m6,1;b3;5;6,Cb,Ebb,Gb,Ab,N/A,N/A,N/A
Cb,13(#5),1;3;#5;b7;9;11;13,Cb,Eb,G,Bbb,Db,Fb,Ab
Cb,m6/9,1;b3;5;6;9,Cb,Ebb,Gb,Ab,Db,N/A,N/A
Cb,7(b9),1;3;5;b7;b9,Cb,Eb,Gb,Bbb,Dbb,N/A,N/A
Cb,m9,1;b3;5;b7;9,Cb,Ebb,Gb,Bbb,Db,N/A,N/A
Cb,13(b9),1;3;5;b7;b9;11;13,Cb,Eb,Gb,Bbb,Dbb,Fb,Ab
Cb,sus4,1;4;5,Cb,Fb,Gb,N/A,N/A,N/A,N/A
Cb,6/9,1;3;5;6;9,Cb,Eb,Gb,Ab,Db,N/A,N/A
Db,9(#5),1;3;#5;b7;9,Db,F,A,Cb,Eb,N/A,N/A
Db,13,1;3;5;b7;9;11;13,Db,F,Ab,Cb,Eb,Gb,Bb
Db,6(#11),1;3;5;6;#11,Db,F,Ab,Bb,G,N/A,N/A
Db,7(#9),1;3;5;b7;#9,Db,F,Ab,Cb,E,N/A,N/A
Db,+(#11),1;3;#5;#11,Db,F,A,G,N/A,N/A,N/A
Db,9,1;3;5;b7;9,Db,F,Ab,Cb,Eb,N/A,N/A
Db,9b5,1;3;b5;b7;9,Db,F,Abb,Cb,Eb,N/A,N/A
Db,maj13,1;3;5;7;9;11;13,Db,F,Ab,C,Eb,Gb,Bb
Db,7,1;3;5;b7,Db,F,Ab,Cb,N/A,N/A,N/A
Db,dim7,1;b3;b5;bb7,Db,Fb,Abb,Cbb,N/A,N/A,N/A
Db,aug,1;3;#5,Db,F,A,N/A,N/A,N/A,N/A
Db,m(maj9),1;b3;5;7;9,Db,Fb,Ab,C,Eb,N/A,N/A
Db,maj,1;3;5,Db,F,Ab,N/A,N/A,N/A,N/A
Db,13(#11),1;3;5;b7;9;#11;13,Db,F,Ab,Cb,Eb,G,Bb
Db,11,1;3;5;b7;9;11,Db,F,Ab,Cb,Eb,Gb,N/A
Db,maj9,1;3;5;7;9,Db,F,Ab,C,Eb,N/A,N/A
Db,sus2,1;2;5,Db,Eb,Ab,N/A,N/A,N/A,N/A
Db,7(b13),1;3;5;b7;b13,Db,F,Ab,Cb,Bbb,N/A,N/A
Db,maj7(#5),1;3;#5;7,Db,F,A,C,N/A,N/A,N/A
Db,m11,1;b3;5;b7;9;11,Db,Fb,Ab,Cb,Eb,Gb,N/A
Db,add9,1;3;5;9,Db,F,Ab,Eb,N/A,N/A,N/A
Db,m7b5,1;b3;b5;b7,Db,Fb,Abb,Cb,N/A,N/A,N/A
Db,m13,1;b3;5;b7;9;11;13,Db,Fb,Ab,Cb,Eb,Gb,Bb
Db,m,1;b3;5,Db,Fb,Ab,N/A,N/A,N/A,N/A
Db,7b5,1;3;b5;b7,Db,F,Abb,Cb,N/A,N/A,N/A
Db,9(#11),1;3;5;b7;9;#11,Db,F,Ab,Cb,Eb,G,N/A
Db,m7,1;b3;5;b7,Db,Fb,Ab,Cb,N/A,N/A,N/A
Db,m(maj7),1;b3;5;7,Db,Fb,Ab,C,N/A,N/A,N/A
Db,dim,1;b3;b5,Db,Fb,Abb,N/A,N/A,N/A,N/A
Db,6,1;3;5;6,Db,F,Ab,Bb,N/A,N/A,N/A
Db,7(#5),1;3;#5;b7,Db,F,A,Cb,N/A,N/A,N/A
Db,7sus4,1;4;5;b7,Db,Gb,Ab,Cb,N/A,N/A,N/A
Db,maj7,1;3;5;7,Db,F,Ab,C,N/A,N/A,N/A
Db,5,1;5,Db,Ab,N/A,N/A,N/A,N/A,N/A
Db,7(#11),1;3;5;b7;#11,Db,F,Ab,Cb,G,N/A,N/A
Db,13(#9),1;3;5;b7;#9;11;13,Db,F,Ab,Cb,E,Gb,Bb
Db,m6,1;b3;5;6,Db,Fb,Ab,Bb,N/A,N/A,N/A
Db,13(#5),1;3;#5;b7;9;11;13,Db,F,A,Cb,Eb,Gb,Bb
Db,m6/9,1;b3;5;6;9,Db,Fb,Ab,Bb,Eb,N/A,N/A
Db,7(b9),1;3;5;b7;b9,Db,F,Ab,Cb,Ebb,N/A,N/A
Db,m9,1;b3;5;b7;9,Db,Fb,Ab,Cb,Eb,N/A,N/A
Db,13(b9),1;3;5;b7;b9;11;13,Db,F,Ab,Cb,Ebb,Gb,Bb
Db,sus4,1;4;5,Db,Gb,Ab,N/A,N/A,N/A,N/A
Db,6/9,1;3;5;6;9,Db,F,Ab,Bb,Eb,N/A,N/A
Eb,9(#5),1;3;#5;b7;9,Eb,G,B,Db,F,N/A,N/A
Eb,13,1;3;5;b7;9;11;13,Eb,G,Bb,Db,F,Ab,C
Eb,6(#11),1;3;5;6;#11,Eb,G,Bb,C,A,N/A,N/A
Eb,7(#9),1;3;5;b7;#9,Eb,G,Bb,Db,F#,N/A,N/A
Eb,+(#11),1;3;#5;#11,Eb,G,B,A,N/A,N/A,N/A
Eb,9,1;3;5;b7;9,Eb,G,Bb,Db,F,N/A,N/A
Eb,9b5,1;3;b5;b7;9,Eb,G,Bbb,Db,F,N/A,N/A
Eb,maj13,1;3;5;7;9;11;13,Eb,G,Bb,D,F,Ab,C
Eb,7,1;3;5;b7,Eb,G,Bb,Db,N/A,N/A,N/A
Eb,dim7,1;b3;b5;bb7,Eb,Gb,Bbb,Dbb,N/A,N/A,N/A
Eb,aug,1;3;#5,Eb,G,B,N/A,N/A,N/A,N/A
Eb,m(maj9),1;b3;5;7;9,Eb,Gb,Bb,D,F,N/A,N/A
Eb,maj,1;3;5,Eb,G,Bb,N/A,N/A,N/A,N/A
Eb,13(#11),1;3;5;b7;9;#11;13,Eb,G,Bb,Db,F,A,C
Eb,11,1;3;5;b7;9;11,Eb,G,Bb,Db,F,Ab,N/A
Eb,maj9,1;3;5;7;9,Eb,G,Bb,D,F,N/A,N/A
Eb,sus2,1;2;5,Eb,F,Bb,N/A,N/A,N/A,N/A
Eb,7(b13),1;3;5;b7;b13,Eb,G,Bb,Db,Cb,N/A,N/A
Eb,maj7(#5),1;3;#5;7,Eb,G,B,D,N/A,N/A,N/A
Eb,m11,1;b3;5;b7;9;11,Eb,Gb,Bb,Db,F,Ab,N/A
Eb,add9,1;3;5;9,Eb,G,Bb,F,N/A,N/A,N/A
Eb,m7b5,1;b3;b5;b7,Eb,Gb,Bbb,Db,N/A,N/A,N/A
Eb,m13,1;b3;5;b7;9;11;13,Eb,Gb,Bb,Db,F,Ab,C
Eb,m,1;b3;5,Eb,Gb,Bb,N/A,N/A,N/A,N/A
Eb,7b5,1;3;b5;b7,Eb,G,Bbb,Db,N/A,N/A,N/A
Eb,9(#11),1;3;5;b7;9;#11,Eb,G,Bb,Db,F,A,N/A
Eb,m7,1;b3;5;b7,Eb,Gb,Bb,Db,N/A,N/A,N/A
Eb,m(maj7),1;b3;5;7,Eb,Gb,Bb,D,N/A,N/A,N/A
Eb,dim,1;b3;b5,Eb,Gb,Bbb,N/A,N/A,N/A,N/A
Eb,6,1;3;5;6,Eb,G,Bb,C,N/A,N/A,N/A
Eb,7(#5),1;3;#5;b7,Eb,G,B,Db,N/A,N/A,N/A
Eb,7sus4,1;4;5;b7,Eb,Ab,Bb,Db,N/A,N/A,N/A
Eb,maj7,1;3;5;7,Eb,G,Bb,D,N/A,N/A,N/A
Eb,5,1;5,Eb,Bb,N/A,N/A,N/A,N/A,N/A
Eb,7(#11),1;3;5;b7;#11,Eb,G,Bb,Db,A,N/A,N/A
Eb,13(#9),1;3;5;b7;#9;11;13,Eb,G,Bb,Db,F#,Ab,C
Eb,m6,1;b3;5;6,Eb,Gb,Bb,C,N/A,N/A,N/A
Eb,13(#5),1;3;#5;b7;9;11;13,Eb,G,B,Db,F,Ab,C
Eb,m6/9,1;b3;5;6;9,Eb,Gb,Bb,C,F,N/A,N/A
Eb,7(b9),1;3;5;b7;b9,Eb,G,Bb,Db,Fb,N/A,N/A
Eb,m9,1;b3;5;b7;9,Eb,Gb,Bb,Db,F,N/A,N/A
Eb,13(b9),1;3;5;b7;b9;11;13,Eb,G,Bb,Db,Fb,Ab,C
Eb,sus4,1;4;5,Eb,Ab,Bb,N/A,N/A,N/A,N/A
Eb,6/9,1;3;5;6;9,Eb,G,Bb,C,F,N/A,N/A
Fb,9(#5),1;3;#5;b7;9,Fb,Ab,C,Ebb,Gb,N/A,N/A
Fb,13,1;3;5;b7;9;11;13,Fb,Ab,Cb,Ebb,Gb,Bbb,Db
Fb,6(#11),1;3;5;6;#11,Fb,Ab,Cb,Db,Bb,N/A,N/A
Fb,7(#9),1;3;5;b7;#9,Fb,Ab,Cb,Ebb,G,N/A,N/A
Fb,+(#11),1;3;#5;#11,Fb,Ab,C,Bb,N/A,N/A,N/A
Fb,9,1;3;5;b7;9,Fb,Ab,Cb,Ebb,Gb,N/A,N/A
Fb,9b5,1;3;b5;b7;9,Fb,Ab,Cbb,Ebb,Gb,N/A,N/A
Fb,maj13,1;3;5;7;9;11;13,Fb,Ab,Cb,Eb,Gb,Bbb,Db
Fb,7,1;3;5;b7,Fb,Ab,Cb,Ebb,N/A,N/A,N/A
Fb,dim7,1;b3;b5;bb7,Fb,Abb,Cbb,Ebbb,N/A,N/A,N/A
Fb,aug,1;3;#5,Fb,Ab,C,N/A,N/A,N/A,N/A
Fb,m(maj9),1;b3;5;7;9,Fb,Abb,Cb,Eb,Gb,N/A,N/A
Fb,maj,1;3;5,Fb,Ab,Cb,N/A,N/A,N/A,N/A
Fb,13(#11),1;3;5;b7;9;#11;13,Fb,Ab,Cb,Ebb,Gb,Bb,Db
Fb,11,1;3;5;b7;9;11,Fb,Ab,Cb,Ebb,Gb,Bbb,N/A
Fb,maj9,1;3;5;7;9,Fb,Ab,Cb,Eb,Gb,N/A,N/A
Fb,sus2,1;2;5,Fb,Gb,Cb,N/A,N/A,N/A,N/A
Fb,7(b13),1;3;5;b7;b13,Fb,Ab,Cb,Ebb,Dbb,N/A,N/A
Fb,maj7(#5),1;3;#5;7,Fb,Ab,C,Eb,N/A,N/A,N/A
Fb,m11,1;b3;5;b7;9;11,Fb,Abb,Cb,Ebb,Gb,Bbb,N/A
Fb,add9,1;3;5;9,Fb,Ab,Cb,Gb,N/A,N/A,N/A
Fb,m7b5,1;b3;b5;b7,Fb,Abb,Cbb,Ebb,N/A,N/A,N/A
Fb,m13,1;b3;5;b7;9;11;13,Fb,Abb,Cb,Ebb,Gb,Bbb,Db
Fb,m,1;b3;5,Fb,Abb,Cb,N/A,N/A,N/A,N/A
Fb,7b5,1;3;b5;b7,Fb,Ab,Cbb,Ebb,N/A,N/A,N/A
Fb,9(#11),1;3;5;b7;9;#11,Fb,Ab,Cb,Ebb,Gb,Bb,N/A
Fb,m7,1;b3;5;b7,Fb,Abb,Cb,Ebb,N/A,N/A,N/A
Fb,m(maj7),1;b3;5;7,Fb,Abb,Cb,Eb,N/A,N/A,N/A
Fb,dim,1;b3;b5,Fb,Abb,Cbb,N/A,N/A,N/A,N/A
Fb,6,1;3;5;6,Fb,Ab,Cb,Db,N/A,N/A,N/A
Fb,7(#5),1;3;#5;b7,Fb,Ab,C,Ebb,N/A,N/A,N/A
Fb,7sus4,1;4;5;b7,Fb,Bbb,Cb,Ebb,N/A,N/A,N/A
Fb,maj7,1;3;5;7,Fb,Ab,Cb,Eb,N/A,N/A,N/A
Fb,5,1;5,Fb,Cb,N/A,N/A,N/A,N/A,N/A
Fb,7(#11),1;3;5;b7;#11,Fb,Ab,Cb,Ebb,Bb,N/A,N/A
Fb,13(#9),1;3;5;b7;#9;11;13,Fb,Ab,Cb,Ebb,G,Bbb,Db
Fb,m6,1;b3;5;6,Fb,Abb,Cb,Db,N/A,N/A,N/A
Fb,13(#5),1;3;#5;b7;9;11;13,Fb,Ab,C,Ebb,Gb,Bbb,Db
Fb,m6/9,1;b3;5;6;9,Fb,Abb,Cb,Db,Gb,N/A,N/A
Fb,7(b9),1;3;5;b7;b9,Fb,Ab,Cb,Ebb,Gbb,N/A,N/A
Fb,m9,1;b3;5;b7;9,Fb,Abb,Cb,Ebb,Gb,N/A,N/A
Fb,13(b9),1;3;5;b7;b9;11;13,Fb,Ab,Cb,Ebb,Gbb,Bbb,Db
Fb,sus4,1;4;5,Fb,Bbb,Cb,N/A,N/A,N/A,N/A
Fb,6/9,1;3;5;6;9,Fb,Ab,Cb,Db,Gb,N/A,N/A
Gb,9(#5),1;3;#5;b7;9,Gb,Bb,D,Fb,Ab,N/A,N/A
Gb,13,1;3;5;b7;9;11;13,Gb,Bb,Db,Fb,Ab,Cb,Eb
Gb,6(#11),1;3;5;6;#11,Gb,Bb,Db,Eb,C,N/A,N/A
Gb,7(#9),1;3;5;b7;#9,Gb,Bb,Db,Fb,A,N/A,N/A
Gb,+(#11),1;3;#5;#11,Gb,Bb,D,C,N/A,N/A,N/A
Gb,9,1;3;5;b7;9,Gb,Bb,Db,Fb,Ab,N/A,N/A
Gb,9b5,1;3;b5;b7;9,Gb,Bb,Dbb,Fb,Ab,N/A,N/A
Gb,maj13,1;3;5;7;9;11;13,Gb,Bb,Db,F,Ab,Cb,Eb
Gb,7,1;3;5;b7,Gb,Bb,Db,Fb,N/A,N/A,N/A
Gb,dim7,1;b3;b5;bb7,Gb,Bbb,Dbb,Fbb,N/A,N/A,N/A
Gb,aug,1;3;#5,Gb,Bb,D,N/A,N/A,N/A,N/A
Gb,m(maj9),1;b3;5;7;9,Gb,Bbb,Db,F,Ab,N/A,N/A
Gb,maj,1;3;5,Gb,Bb,Db,N/A,N/A,N/A,N/A
Gb,13(#11),1;3;5;b7;9;#11;13,Gb,Bb,Db,Fb,Ab,C,Eb
Gb,11,1;3;5;b7;9;11,Gb,Bb,Db,Fb,Ab,Cb,N/A
Gb,maj9,1;3;5;7;9,Gb,Bb,Db,F,Ab,N/A,N/A
Gb,sus2,1;2;5,Gb,Ab,Db,N/A,N/A,N/A,N/A
Gb,7(b13),1;3;5;b7;b13,Gb,Bb,Db,Fb,Ebb,N/A,N/A
Gb,maj7(#5),1;3;#5;7,Gb,Bb,D,F,N/A,N/A,N/A
Gb,m11,1;b3;5;b7;9;11,Gb,Bbb,Db,Fb,Ab,Cb,N/A
Gb,add9,1;3;5;9,Gb,Bb,Db,Ab,N/A,N/A,N/A
Gb,m7b5,1;b3;b5;b7,Gb,Bbb,Dbb,Fb,N/A,N/A,N/A
Gb,m13,1;b3;5;b7;9;11;13,Gb,Bbb,Db,Fb,Ab,Cb,Eb
Gb,m,1;b3;5,Gb,Bbb,Db,N/A,N/A,N/A,N/A
Gb,7b5,1;3;b5;b7,Gb,Bb,Dbb,Fb,N/A,N/A,N/A
Gb,9(#11),1;3;5;b7;9;#11,Gb,Bb,Db,Fb,Ab,C,N/A
Gb,m7,1;b3;5;b7,Gb,Bbb,Db,Fb,N/A,N/A,N/A
Gb,m(maj7),1;b3;5;7,Gb,Bbb,Db,F,N/A,N/A,N/A
Gb,dim,1;b3;b5,Gb,Bbb,Dbb,N/A,N/A,N/A,N/A
Gb,6,1;3;5;6,Gb,Bb,Db,Eb,N/A,N/A,N/A
Gb,7(#5),1;3;#5;b7,Gb,Bb,D,Fb,N/A,N/A,N/A
Gb,7sus4,1;4;5;b7,Gb,Cb,Db,Fb,N/A,N/A,N/A
Gb,maj7,1;3;5;7,Gb,Bb,Db,F,N/A,N/A,N/A
Gb,5,1;5,Gb,Db,N/A,N/A,N/A,N/A,N/A
Gb,7(#11),1;3;5;b7;#11,Gb,Bb,Db,Fb,C,N/A,N/A
Gb,13(#9),1;3;5;b7;#9;11;13,Gb,Bb,Db,Fb,A,Cb,Eb
Gb,m6,1;b3;5;6,Gb,Bbb,Db,Eb,N/A,N/A,N/A
Gb,13(#5),1;3;#5;b7;9;11;13,Gb,Bb,D,Fb,Ab,Cb,Eb
Gb,m6/9,1;b3;5;6;9,Gb,Bbb,Db,Eb,Ab,N/A,N/A
Gb,7(b9),1;3;5;b7;b9,Gb,Bb,Db,Fb,Abb,N/A,N/A
Gb,m9,1;b3;5;b7;9,Gb,Bbb,Db,Fb,Ab,N/A,N/A
Gb,13(b9),1;3;5;b7;b9;11;13,Gb,Bb,Db,Fb,Abb,Cb,Eb
Gb,sus4,1;4;5,Gb,Cb,Db,N/A,N/A,N/A,N/A
Gb,6/9,1;3;5;6;9,Gb,Bb,Db,Eb,Ab,N/A,N/A
A,9(#5),1;3;#5;b7;9,A,C#,E#,G,B,N/A,N/A
A,13,1;3;5;b7;9;11;13,A,C#,E,G,B,D,F#
A,6(#11),1;3;5;6;#11,A,C#,E,F#,D#,N/A,N/A
A,7(#9),1;3;5;b7;#9,A,C#,E,G,B#,N/A,N/A
A,+(#11),1;3;#5;#11,A,C#,E#,D#,N/A,N/A,N/A
A,9,1;3;5;b7;9,A,C#,E,G,B,N/A,N/A
A,9b5,1;3;b5;b7;9,A,C#,Eb,G,B,N/A,N/A
A,maj13,1;3;5;7;9;11;13,A,C#,E,G#,B,D,F#
A,7,1;3;5;b7,A,C#,E,G,N/A,N/A,N/A
A,dim7,1;b3;b5;bb7,A,C,Eb,Gb,N/A,N/A,N/A
A,aug,1;3;#5,A,C#,E#,N/A,N/A,N/A,N/A
A,m(maj9),1;b3;5;7;9,A,C,E,G#,B,N/A,N/A
A,maj,1;3;5,A,C#,E,N/A,N/A,N/A,N/A
A,13(#11),1;3;5;b7;9;#11;13,A,C#,E,G,B,D#,F#
A,11,1;3;5;b7;9;11,A,C#,E,G,B,D,N/A
A,maj9,1;3;5;7;9,A,C#,E,G#,B,N/A,N/A
A,sus2,1;2;5,A,B,E,N/A,N/A,N/A,N/A
A,7(b13),1;3;5;b7;b13,A,C#,E,G,F,N/A,N/A
A,maj7(#5),1;3;#5;7,A,C#,E#,G#,N/A,N/A,N/A
A,m11,1;b3;5;b7;9;11,A,C,E,G,B,D,N/A
A,add9,1;3;5;9,A,C#,E,B,N/A,N/A,N/A
A,m7b5,1;b3;b5;b7,A,C,Eb,G,N/A,N/A,N/A
A,m13,1;b3;5;b7;9;11;13,A,C,E,G,B,D,F#
A,m,1;b3;5,A,C,E,N/A,N/A,N/A,N/A
A,7b5,1;3;b5;b7,A,C#,Eb,G,N/A,N/A,N/A
A,9(#11),1;3;5;b7;9;#11,A,C#,E,G,B,D#,N/A
A,m7,1;b3;5;b7,A,C,E,G,N/A,N/A,N/A
A,m(maj7),1;b3;5;7,A,C,E,G#,N/A,N/A,N/A
A,dim,1;b3;b5,A,C,Eb,N/A,N/A,N/A,N/A
A,6,1;3;5;6,A,C#,E,F#,N/A,N/A,N/A
A,7(#5),1;3;#5;b7,A,C#,E#,G,N/A,N/A,N/A
A,7sus4,1;4;5;b7,A,D,E,G,N/A,N/A,N/A
A,maj7,1;3;5;7,A,C#,E,G#,N/A,N/A,N/A
A,5,1;5,A,E,N/A,N/A,N/A,N/A,N/A
A,7(#11),1;3;5;b7;#11,A,C#,E,G,D#,N/A,N/A
A,13(#9),1;3;5;b7;#9;11;13,A,C#,E,G,B#,D,F#
