CHORD_ROOT,CHORD_TYPE,CHORD_STRUCTURE,NOTES,N/A,N/A,N/A,N/A,N/A,N/A
C#,7(b13),1;3;5;b7;b13,C#,E#,G#,B,A,N/A,N/A
C#,maj7(#5),1;3;#5;7,C#,E#,G##,B#,N/A,N/A,N/A
C#,m11,1;b3;5;b7;9;11,C#,E,G#,B,D#,F#,N/A
C#,add9,1;3;5;9,C#,E#,G#,D#,N/A,N/A,N/A
C#,m7b5,1;b3;b5;b7,C#,E,G,B,N/A,N/A,N/A
C#,m13,1;b3;5;b7;9;11;13,C#,E,G#,B,D#,F#,A#
C#,m,1;b3;5,C#,E,G#,N/A,N/A,N/A,N/A
C#,7b5,1;3;b5;b7,C#,E#,G,B,N/A,N/A,N/A
C#,9(#11),1;3;5;b7;9;#11,C#,E#,G#,B,D#,F##,N/A
C#,m7,1;b3;5;b7,C#,E,G#,B,N/A,N/A,N/A
C#,m(maj7),1;b3;5;7,C#,E,G#,B#,N/A,N/A,N/A
C#,dim,1;b3;b5,C#,E,G,N/A,N/A,N/A,N/A
C#,6,1;3;5;6,C#,E#,G#,A#,N/A,N/A,N/A
C#,7(#5),1;3;#5;b7,C#,E#,G##,B,N/A,N/A,N/A
C#,7sus4,1;4;5;b7,C#,F#,G#,B,N/A,N/A,N/A
C#,maj7,1;3;5;7,C#,E#,G#,B#,N/A,N/A,N/A
C#,5,1;5,C#,G#,N/A,N/A,N/A,N/A,N/A
C#,7(#11),1;3;5;b7;#11,C#,E#,G#,B,F##,N/A,N/A
C#,13(#9),1;3;5;b7;#9;11;13,C#,E#,G#,B,D##,F#,A#
C#,m6,1;b3;5;6,C#,E,G#,A#,N/A,N/A,N/A
C#,13(#5),1;3;#5;b7;9;11;13,C#,E#,G##,B,D#,F#,A#
C#,m6/9,1;b3;5;6;9,C#,E,G#,A#,D#,N/A,N/A
C#,7(b9),1;3;5;b7;b9,C#,E#,G#,B,D,N/A,N/A
C#,m9,1;b3;5;b7;9,C#,E,G#,B,D#,N/A,N/A
C#,13(b9),1;3;5;b7;b9;11;13,C#,E#,G#,B,D,F#,A#
C#,sus4,1;4;5,C#,F#,G#,N/A,N/A,N/A,N/A
C#,6/9,1;3;5;6;9,C#,E#,G#,A#,D#,N/A,N/A
D#,9(#5),1;3;#5;b7;9,D#,F##,A##,C#,E#,N/A,N/A
D#,13,1;3;5;b7;9;11;13,D#,F##,A#,C#,E#,G#,B#
D#,6(#11),1;3;5;6;#11,D#,F##,A#,B#,G##,N/A,N/A
D#,7(#9),1;3;5;b7;#9,D#,F##,A#,C#,E##,N/A,N/A
D#,+(#11),1;3;#5;#11,D#,F##,A##,G##,N/A,N/A,N/A
D#,9,1;3;5;b7;9,D#,F##,A#,C#,E#,N/A,N/A
